num_C,num_F,num_O,num_P,num_S,num_B,HOMO,LUMO,min_ESP,max_ESP,MPI,R,La,Lb,Lc,MW,TPSA,C,HBA,Binding energy
8,0,0,0,0,1,-0.09993,0.12524,-123.624208,-47.640219,3.70971704,3.74412,8.785,9.115,5.256,172.97,0,145,4,0
6,0,3,0,0,0,-0.04593,0.14013,-137.601383,-46.484239,3.81509308,3.45384,8.256,7.043,5.256,129.13,57.2,123,3,1
2,0,3,0,1,0,-0.08959,0.09676,-125.227478,-55.828774,3.94531366,3.6654,8.814,4.789,5.533,188.02,65.6,107,3,1
3,0,3,0,0,0,-0.11822,0.0617,-117.882329,-48.189522,3.80673638,3.6777,8.794,7.155,3.45,196.95,76,230,3,0
6,0,1,0,0,0,-0.03239,0.13176,-123.717924,-56.608903,3.86035315,3.77036,8.98,7.18,3.5,161.99,23.1,97.1,1,0
6,0,3,0,0,0,-0.04754,0.13433,-137.018572,-46.811022,3.83527058,3.4604,8.046,5.799,6.079,129.13,57.2,121,3,1
4,0,6,0,1,0,-0.1083,0.07779,-121.245667,-24.694751,3.74649335,3.54076,8.318,7.078,6.186,194.15,123,313,6,1
6,3,2,0,0,1,-0.13571,0.03727,-121.816723,-37.367907,3.71256068,3.79168,8.794,8.269,5.254,189.91,45.8,203,6,1
7,0,3,0,1,0,-0.08553,0.10237,-127.881305,-40.102096,3.74940266,3.67606,8.807,8.021,5.53,171.2,65.6,201,3,1
7,0,3,0,1,0,-0.05983,0.06676,-114.261143,-53.889814,3.73915959,3.85318,7.721,9.349,4.161,152.13,68.9,154,3,1
5,0,3,0,0,0,-0.065,0.16138,-139.482235,-55.071226,3.99516875,3.53584,8.622,6.783,5.391,117.12,60.4,74.2,3,1
5,0,3,0,1,0,-0.01995,0.14633,-140.923332,-48.345118,3.81424547,3.59488,7.891,6.569,5.2,149.19,68.6,103,4,0
7,3,1,0,0,1,-0.0837,0.12683,-122.363136,-47.320275,3.7770154,3.90812,8.87,8.537,5.255,174.94,9.2,148,5,1
6,0,2,0,1,0,-0.06933,0.08911,-123.66231,-36.28254,3.69776511,3.8417,9.306,6.88,6.011,190.63,43.5,203,3,1
9,0,3,0,0,0,-0.06106,0.08886,-137.083417,-36.755602,3.59765484,4.31238,10.493,7.155,5.302,163.15,57.2,175,3,1
5,0,5,0,0,0,-0.06183,0.10397,-128.652459,-11.294903,3.77500878,3.73428,8.378,6.107,5.306,145.09,94.5,165,5,1
6,0,2,0,2,0,-0.05727,0.09094,-124.765749,-36.9304,3.74144955,3.88024,9.381,6.695,5.939,173.2,80.6,189,3,1
3,0,4,0,1,0,-0.09152,0.12836,-124.688125,-19.96351,3.79210693,3.92206,9.444,6.868,5.882,173.6,85.8,144,4,1
6,0,0,0,0,0,-0.04322,0.14276,-122.603705,-62.688147,3.40393757,4.12296,10.032,7.34,6.8,160.38,1,76.2,1,1
6,0,3,0,1,0,-0.08039,0.10349,-129.915482,-18.574347,3.73233924,3.90238,9.142,7.713,5.512,172.18,91.6,205,4,1
7,3,0,0,0,1,-0.1065,0.12194,-126.028868,-43.809233,3.75149562,4.018,7.556,9.436,5.248,158.94,0,132,4,1
